Title,Author,Genre,Publisher
"Age of Discontuinity, The","Drucker, Peter",economics,Random House
"Age of Wrath, The","Eraly, Abraham",history,Penguin
Aghal Paghal,"Deshpande, P L",nonfiction,Mauj
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,Mauj
All the President's Men,"Woodward, Bob",history,Random House
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,Random House
"Analysis, Vol I","Tao, Terence",mathematics,HBA
Angels & Demons,"Brown, Dan",fiction,Random House
"Argumentative Indian, The","Sen, Amartya",nonfiction,Picador
"Artist and the Mathematician, The","Aczel, Amir",science,HighStakes
Asami Asami,"Deshpande, P L",fiction,Mauj
Ashenden of The British Agent,"Maugham, William S",fiction,Vintage
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,Penguin
Beyond the Three Seas,"Dalrymple, William",history,Random House
Birth of a Theorem,"Villani, Cedric",mathematics,Bodley Head
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,Penguin
"Brethren, The","Grisham, John",fiction,Random House
Burning Bright,"Steinbeck, John",fiction,Penguin
Catch 22,"Heller, Joseph",fiction,Random House
"City of Joy, The","Lapierre, Dominique",fiction,vikas
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,Simon&Schuster
"Complete Mastermind, The",BBC,nonfiction,BBC
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,Random House
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,Random House
"Computer Vision, A Modern Approach","Forsyth, David",data_science,Pearson
Crime and Punishment,"Dostoevsky, Fyodor",fiction,Penguin
Data Mining Handbook,"Nisbet, Robert",data_science,Apress
Data Scientists at Work,Sebastian Gutierrez,data_science,Apress
Data Smart,"Foreman, John",data_science,Wiley
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,Prentice Hall
Doctor in the Nude,"Gordon, Richard",fiction,Penguin
Down and Out in Paris & London,"Orwell, George",nonfiction,Penguin
"Drunkard's Walk, The","Mlodinow, Leonard",science,Penguin
Dylan on Dylan,"Dylan, Bob",nonfiction,Random House
Econometric Analysis,"Greene, W. H.",economics,Pearson
Electric Universe,"Bodanis, David",science,Penguin
False Impressions,"Archer, Jeffery",fiction,Pan
"Farewell to Arms, A","Hemingway, Ernest",fiction,Rupa
Freakonomics,"Dubner, Stephen",economics,Penguin
Free Will,"Harris, Sam",philosophy,FreePress
Freedom at Midnight,"Lapierre, Dominique",history,vikas
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,Wiley
God Created the Integers,"Hawking, Stephen",mathematics,Penguin
"Great Indian Novel, The","Tharoor, Shashi",fiction,Penguin
"Great War for Civilization, The","Fisk, Robert",history,HarperCollins
Gun Gayin Awadi,"Deshpande, P L",nonfiction,Mauj
"Hidden Connections, The","Capra, Fritjof",science,HarperCollins
History of Western Philosophy,"Russell, Bertrand",philosophy,Routledge
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,Penguin
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,Random House
"Idea of Justice, The","Sen, Amartya",nonfiction,Penguin
Identity & Violence,"Sen, Amartya",philosophy,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,CRC
In a Free State,"Naipaul, V. S.",fiction,Rupa
India from Midnight to Milennium,"Tharoor, Shashi",history,Penguin
Integration of the Indian States,"Menon, V P",history,Orient Blackswan
Introduction to Algorithms,"Cormen, Thomas",computer_science,MIT Press
Journal of a Novel,"Steinbeck, John",fiction,Penguin
Jurassic Park,"Crichton, Michael",fiction,Random House
"Last Lecture, The","Pausch, Randy",nonfiction,Hyperion
"Last Mughal, The","Dalrymple, William",history,Penguin
Learning OpenCV,"Bradsky, Gary",data_science,O'Reilly
Let Us C,"Kanetkar, Yashwant",computer_science,Prentice Hall
Machine Learning for Hackers,"Conway, Drew",data_science,O'Reilly
Making Software,"Oram, Andy",computer_science,O'Reilly
Manasa,"Kale, V P",nonfiction,Mauj
Maqta-e-Ghalib,"Garg, Sanjay",fiction,Mauj
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,Vintage
"Moon is Down, The","Steinbeck, John",fiction,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,Springer
"New Machiavelli, The","Wells, H. G.",fiction,Penguin
New Markets & Other Essays,"Drucker, Peter",economics,Penguin
O Jerusalem!,"Lapierre, Dominique",history,vikas
On Education,"Russell, Bertrand",philosophy,Routledge
Once There Was a War,"Steinbeck, John",nonfiction,Penguin
One,"Bach, Richard",nonfiction,Dell
Orientalism,"Said, Edward",history,Penguin
"Outsider, The","Camus, Albert",fiction,Penguin
Physics & Philosophy,"Heisenberg, Werner",science,Penguin
"Pillars of the Earth, The","Follett, Ken",fiction,Random House
Principles of Communication Systems,"Taub, Schilling",computer_science,TMH
"Prisoner of Birth, A","Archer, Jeffery",fiction,Pan
Python for Data Analysis,"McKinney, Wes",data_science,O'Reilly
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,Mauj
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,Penguin
Rationality & Freedom,"Sen, Amartya",economics,Springer
Return of the Primitive,"Rand, Ayn",philosophy,Penguin
"Russian Journal, A","Steinbeck, John",nonfiction,Penguin
Scoop!,"Nayar, Kuldip",history,HarperCollins
Sea of Poppies,"Ghosh, Amitav",fiction,Penguin
"Signal and the Noise, The","Silver, Nate",data_science,Penguin
Slaughterhouse Five,"Vonnegut, Kurt",fiction,Random House
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,Springer
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,Elsevier
Statistical Decision Theory',"Pratt, John",data_science,MIT Press
"Story of Philosophy, The","Durant, Will",philosophy,Pocket
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,MIT Press
Superfreakonomics,"Dubner, Stephen",economics,HarperCollins
Surely You're Joking Mr Feynman,"Feynman, Richard",science,Random House
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,HarperCollins
"Tao of Physics, The","Capra, Fritjof",science,Penguin
Textbook of Economic Theory,"Stonier, Alfred",economics,Pearson
"Theory of Everything, The","Hawking, Stephen",science,Jaico
To Sir With Love,Braithwaite,fiction,Penguin
"Trial, The","Kafka, Frank",fiction,Random House
Uncommon Wisdom,"Capra, Fritjof",nonfiction,Fontana
"Veteran, The","Forsyth, Frederick",fiction,Transworld
We the Living,"Rand, Ayn",fiction,Penguin
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Wealth of Nations, The","Smith, Adam",economics,Random House
"Winter of Our Discontent, The","Steinbeck, John",fiction,Penguin
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,Vintage








